plot_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,event_time,year,source_group,citation_count,total_citations,source_share,source_share_pct,pc_status_for_source
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-2,2017,POPL,0.0,6.0,0.0,0.0,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-2,2017,OOPSLA,3.0,6.0,0.5,50.0,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-2,2017,PLDI,2.0,6.0,0.3333333333333333,33.33333333333333,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-1,2018,ICFP,5.0,8.0,0.625,62.5,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-1,2018,POPL,1.0,8.0,0.125,12.5,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-1,2018,OOPSLA,0.0,8.0,0.0,0.0,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-1,2018,PLDI,2.0,8.0,0.25,25.0,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,0,2019,ICFP,7.0,12.0,0.5833333333333334,58.333333333333336,1.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,0,2019,POPL,2.0,12.0,0.16666666666666666,16.666666666666664,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,0,2019,OOPSLA,0.0,12.0,0.0,0.0,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,0,2019,PLDI,3.0,12.0,0.25,25.0,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,1,2020,ICFP,2.0,7.0,0.2857142857142857,28.57142857142857,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,1,2020,POPL,2.0,7.0,0.2857142857142857,28.57142857142857,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,1,2020,OOPSLA,3.0,7.0,0.42857142857142855,42.857142857142854,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,1,2020,PLDI,0.0,7.0,0.0,0.0,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,2,2021,ICFP,0.0,1.0,0.0,0.0,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,2,2021,POPL,1.0,1.0,1.0,100.0,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,2,2021,OOPSLA,0.0,1.0,0.0,0.0,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,2,2021,PLDI,0.0,1.0,0.0,0.0,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-2,2017,ICFP,0.0,13.0,0.0,0.0,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-2,2017,POPL,0.0,13.0,0.0,0.0,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-2,2017,OOPSLA,10.0,13.0,0.7692307692307693,76.92307692307693,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-2,2017,PLDI,3.0,13.0,0.23076923076923078,23.076923076923077,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-1,2018,ICFP,0.0,13.0,0.0,0.0,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-1,2018,POPL,0.0,13.0,0.0,0.0,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-1,2018,OOPSLA,1.0,13.0,0.07692307692307693,7.6923076923076925,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,-1,2018,PLDI,12.0,13.0,0.9230769230769231,92.3076923076923,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,0,2019,ICFP,0.0,46.0,0.0,0.0,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,0,2019,POPL,0.0,46.0,0.0,0.0,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,0,2019,OOPSLA,24.0,46.0,0.5217391304347826,52.17391304347826,1.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,0,2019,PLDI,22.0,46.0,0.4782608695652174,47.82608695652174,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,1,2020,ICFP,0.0,25.0,0.0,0.0,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,1,2020,POPL,0.0,25.0,0.0,0.0,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,1,2020,OOPSLA,14.0,25.0,0.56,56.00000000000001,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,1,2020,PLDI,11.0,25.0,0.44,44.0,0.0
8,brandonlucia,Brandon Lucia,OOPSLA,OOPSLA,2019,OOPSLA 2019,2,2021,ICFP,0.0,12.0,0.0,0.0,0.0
